id,name,stage,kind,metrics_path,status,mAP50,mAP50-95,Precision,Recall,AP_small,Recall_small,AP_dark,Recall_dark,AP_dark-small,False Positives/image,car_AP50-95,car_AP50,truck_AP50-95,truck_AP50,bus_AP50-95,bus_AP50,van_AP50-95,van_AP50,freight_car_AP50-95,freight_car_AP50
E2,E2 IR-only,baseline,baseline,/mnt/disk2/lhr/VSD/results/val/e2_ir_only_val/required_metrics.json,done,0.7665736097464005,0.5053237075716267,0.758170710889838,0.7257999637723557,0.01959772744767664,0.5706998696024738,0.5363097956903623,0.7536578284968144,0.02387862318211135,,0.5924839030075438,0.9397630605068544,0.4497959823122592,0.7360344332819142,0.7042134644499084,0.9538117666673648,0.39557490598914,0.5990169623993581,0.3845502820992815,0.6042418258765113
E4,E4 Late WBF,baseline,baseline,/mnt/disk2/lhr/VSD/results/val/e4_late_fusion_wbf_val/required_metrics.json,done,0.7760312683423464,0.5403849143076453,0.8895093921631975,0.8580268898584276,0.022188352642059577,0.3420818151335643,0.5198482690910001,0.6426432907142674,0.022675244638354335,1.1735874744724302,0.6420426845954308,0.9507349727914532,0.5004475416802769,0.7457170710035709,0.7203352307768524,0.9481924799969063,0.41628019329401783,0.5890024281055755,0.4228189211916491,0.6465093898142251
E3,E3 Late NMS,baseline,baseline,/mnt/disk2/lhr/VSD/results/val/e3_late_fusion_nms_val/required_metrics.json,done,0.7750852821460997,0.5441893644880681,0.7800126879874613,0.9305493722731725,0.02244375660655622,0.341655761707835,0.5180217024333362,0.6424689543498923,0.022597291465473027,3.336283185840708,0.6717791125451963,0.9568160812199967,0.5177916312797252,0.7593473306004588,0.7160746810342024,0.9493337244180727,0.40340736567407065,0.5768383241031976,0.41189403190714624,0.6330909503887727
E1,E1 RGB-only,baseline,baseline,/mnt/disk2/lhr/VSD/results/val/e1_rgb_only_val/required_metrics.json,done,0.7701793076376158,0.5348585713172705,0.7878070015966191,0.7134033538116197,0.02266261721397962,0.3683364703252487,0.4528633209496347,0.6597429165740646,0.013665463250475391,,0.6596306668301414,0.9535848127857308,0.4996878694236545,0.7233380621388544,0.6990910611847171,0.9390285298269664,0.41422764639375326,0.605092119015299,0.4016556127540868,0.6298530144212281
E6,E6 multi-scale fusion,baseline,baseline,/mnt/disk2/lhr/VSD/results/val/e6_feature_fusion_multiscale_val/required_metrics.json,done,0.6023796285475367,0.42149567848339387,0.6909698443671022,0.5577354615875383,0.023412474506478497,0.22591266346261318,0.26712899922681027,0.41044980390994645,0.007973022530611915,,0.6605806279621734,0.943361499513589,0.393301290548834,0.5613136805911656,0.6000996120760893,0.8241124480488072,0.25792989756693613,0.40032765605540904,0.19556696426293643,0.2827828585287126
E5,E5 single-layer fusion,baseline,baseline,/mnt/disk2/lhr/VSD/results/val/e5_feature_fusion_single_val/required_metrics.json,done,0.5072113481890144,0.35202790232841386,0.6736100165515191,0.4572608334783707,0.02193488465267414,0.20779244004771152,0.14498600316218302,0.17683056819435278,0.006807225143986153,,0.5623737994215681,0.8280638686327583,0.3666633550533219,0.5269885624604751,0.42189645993034774,0.5600539656280021,0.2003828541857266,0.3076753449277091,0.20882304305110483,0.31327499929612745
B1,IR-only 768,batch1,single,/mnt/disk2/lhr/VSD/results/dark_small_next/val/B1_ir_only_768/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
B2,IR-only 960,batch1,single,/mnt/disk2/lhr/VSD/results/dark_small_next/val/B2_ir_only_960/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
B3,RGB-only 768,batch1,single,/mnt/disk2/lhr/VSD/results/dark_small_next/val/B3_rgb_only_768/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
B4,WBF RGB:IR = 0.4:0.6,batch1,late_fusion,/mnt/disk2/lhr/VSD/results/dark_small_next/val/B4_wbf_rgb04_ir06/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
B5,WBF RGB:IR = 0.3:0.7,batch1,late_fusion,/mnt/disk2/lhr/VSD/results/dark_small_next/val/B5_wbf_rgb03_ir07/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
B6,WBF RGB:IR = 0.5:0.5,batch1,late_fusion,/mnt/disk2/lhr/VSD/results/dark_small_next/val/B6_wbf_rgb05_ir05/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
B7,IR-only 768 + close_mosaic=20,batch1,single,/mnt/disk2/lhr/VSD/results/dark_small_next/val/B7_ir_only_768_close20/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
B8,IR-only 768 + dark-small resampling,batch1,single,/mnt/disk2/lhr/VSD/results/dark_small_next/val/B8_ir_only_768_darksmall_x3/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
F1,6-channel early fusion 640,batch2,planned,,requires_model_support,,,,,,,,,,,,,,,,,,,,
F2,6-channel early fusion 768,batch2,planned,,requires_model_support,,,,,,,,,,,,,,,,,,,,
F3,E5 fixed 768,batch2,e5,/mnt/disk2/lhr/VSD/results/dark_small_next/val/F3_e5_rgb_ir_768_fixed/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
F4,E6 fixed 768,batch2,e6,/mnt/disk2/lhr/VSD/results/dark_small_next/val/F4_e6_rgb_ir_768_fixed/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
F5,E6 fixed 768 + small resampling,batch2,e6,/mnt/disk2/lhr/VSD/results/dark_small_next/val/F5_e6_rgb_ir_768_small_x2/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
F6,E6 fixed 768 + dark-small resampling,batch2,e6,/mnt/disk2/lhr/VSD/results/dark_small_next/val/F6_e6_rgb_ir_768_darksmall_x3/required_metrics.json,pending,,,,,,,,,,,,,,,,,,,,
